date,stock,todayPosition
2021-12-09,NKE,83911.0
2021-12-09,NUE,-126635.0
2021-12-09,EQT,-681245.0
2021-12-10,ALLE,-109142.0
2021-12-10,GPC,-106466.0
2021-12-10,HSY,-77851.0
2021-12-10,CMG,-8293.0
2021-12-10,NKE,84984.0
2021-12-10,NUE,-126545.0
2021-12-10,EQT,-689797.0
2021-12-13,ALLE,-109001.0
2021-12-13,GPC,-105953.0
2021-12-13,HSY,-76594.0
2021-12-13,CMG,-8298.0
2021-12-13,NKE,84501.0
2021-12-13,NUE,-126187.0
2021-12-13,EQT,-684837.0
2021-12-14,ALLE,-109502.0
2021-12-14,GPC,-107808.0
2021-12-14,HSY,-75726.0
2021-12-14,CMG,-8448.0
2021-12-14,NKE,85626.0
2021-12-14,NUE,-123632.0
2021-12-14,EQT,-710025.0
2021-12-15,ALLE,-110203.0
2021-12-15,GPC,-108307.0
2021-12-15,HSY,-76113.0
2021-12-15,CMG,-8517.0
2021-12-15,NKE,86371.0
2021-12-15,NUE,-120635.0
2021-12-15,EQT,-671636.0
2021-12-16,ALLE,-109586.0
2021-12-16,GPC,-107395.0
2021-12-16,HSY,-75279.0
2021-12-16,CMG,-8397.0
2021-12-16,NKE,87162.0
2021-12-16,NUE,0.0
2021-12-16,EQT,-681245.0
2021-12-17,ALLE,-108537.0
2021-12-17,GPC,-105034.0
2021-12-17,HSY,-74354.0
2021-12-17,CMG,0.0
2021-12-17,NKE,87794.0
2021-12-17,NUE,-125423.0
2021-12-17,EQT,-667556.0
2021-12-20,ALLE,-111703.0
2021-12-20,GPC,-107209.0
2021-12-20,HSY,-76141.0
2021-12-20,CMG,8485.0
2021-12-20,NKE,88534.0
2021-12-20,NUE,-121065.0
2021-12-20,EQT,-671952.0
2021-12-21,ALLE,-114975.0
2021-12-21,GPC,-108752.0
2021-12-21,HSY,-76072.0
2021-12-21,CMG,8505.0
2021-12-21,NKE,91004.0
2021-12-21,NUE,-128549.0
2021-12-21,EQT,-672268.0
2021-12-22,ALLE,-113055.0
2021-12-22,GPC,-106332.0
2021-12-22,HSY,-76259.0
2021-12-22,CMG,8287.0
2021-12-22,NKE,85734.0
2021-12-22,NUE,-126961.0
2021-12-22,EQT,-674172.0
2021-12-23,ALLE,-113154.0
2021-12-23,GPC,-105624.0
2021-12-23,HSY,-75637.0
2021-12-23,CMG,8189.0
2021-12-23,NKE,86350.0
2021-12-23,NUE,-125710.0
2021-12-23,EQT,-644080.0
2021-12-27,ALLE,-112238.0
2021-12-27,GPC,-105530.0
2021-12-27,HSY,-75802.0
2021-12-27,CMG,8170.0
2021-12-27,NKE,86230.0
2021-12-27,NUE,-124984.0
2021-12-27,EQT,-645536.0
2021-12-28,ALLE,-110246.0
2021-12-28,GPC,-103737.0
2021-12-28,HSY,-75235.0
2021-12-28,CMG,8089.0
2021-12-28,NKE,85248.0
2021-12-28,NUE,-122466.0
2021-12-28,EQT,-626017.0
2021-12-29,ALLE,-109001.0
